y,0.005,0.015,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.538846634751e-01,8.912024627559e-01,8.979814949002e-01
0.05000000,7.933842348926e-01,8.521770402620e-01,8.634373060144e-01
0.07500000,7.344069638179e-01,8.138332893574e-01,8.301477515861e-01
0.10000000,6.854476191428e-01,7.807365057392e-01,8.023518337901e-01
0.12500000,6.457840002096e-01,7.517587372512e-01,7.786704532646e-01
0.15000000,6.149206703056e-01,7.263189713509e-01,7.583703243082e-01
0.17500000,5.923970756146e-01,7.041157732473e-01,7.409932920632e-01
0.20000000,5.765943060698e-01,6.847864958279e-01,7.259450154214e-01
0.22500000,5.645635301241e-01,6.673767969098e-01,7.122936950237e-01
0.25000000,5.554782164306e-01,6.517062541719e-01,6.998187644825e-01
0.27500000,5.485929947193e-01,6.376126489016e-01,6.883275034682e-01
0.30000000,5.435801118695e-01,6.253873689222e-01,6.778900681706e-01
0.32500000,5.394423093027e-01,6.144038517525e-01,6.681084900384e-01
0.35000000,5.359427222211e-01,6.045049078714e-01,6.588918592057e-01
0.37500000,5.329278461601e-01,5.955980574966e-01,6.501886566084e-01
0.40000000,5.303255079383e-01,5.877290382266e-01,6.420284837477e-01
0.42500000,5.280309796594e-01,5.807739134456e-01,6.343662988921e-01
0.45000000,5.259403398644e-01,5.744663376470e-01,6.270732924051e-01
0.47500000,5.240282504779e-01,5.687425959196e-01,6.201251616814e-01
0.50000000,5.222731726753e-01,5.635418253723e-01,6.134985477790e-01
0.52500000,5.207032723955e-01,5.589549595201e-01,6.072738108154e-01
0.55000000,5.192454108685e-01,5.547311619980e-01,6.013000955371e-01
0.57500000,5.178905946670e-01,5.508350870629e-01,5.955578957577e-01
0.60000000,5.166303989037e-01,5.472332602761e-01,5.900277838650e-01
0.62500000,5.154741855780e-01,5.439428278722e-01,5.847252487184e-01
0.65000000,5.144066342333e-01,5.409024787795e-01,5.796019129536e-01
0.67500000,5.134078383668e-01,5.380446546618e-01,5.746035403651e-01
0.70000000,5.124732294719e-01,5.353476549618e-01,5.697080118381e-01
0.72500000,5.116007386993e-01,5.327947378612e-01,5.648938837696e-01
0.75000000,5.107980940167e-01,5.303798279263e-01,5.601445345146e-01
0.77500000,5.100370701314e-01,5.280307061965e-01,5.553825179626e-01
0.80000000,5.093102880217e-01,5.257236238136e-01,5.505729567067e-01
0.82500000,5.086095568108e-01,5.234297638429e-01,5.456799255233e-01
0.85000000,5.079224534099e-01,5.210686469121e-01,5.406061114810e-01
0.87500000,5.071991750153e-01,5.185759393671e-01,5.352707222328e-01
0.90000000,5.064041313697e-01,5.158970353317e-01,5.296254985063e-01
0.92500000,5.054976017104e-01,5.130048554078e-01,5.236885607725e-01
0.95000000,5.044116018864e-01,5.098784198251e-01,5.175455706782e-01
0.97500000,5.032563647149e-01,5.066729973935e-01,5.113421347933e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
