y,phi=4,phi=8,phi=12,phi=16
0.00000000,1.704083110340e+01,1.749983498167e+01,1.760679533905e+01,1.764003629649e+01
0.02500000,1.713320900335e+01,1.759189753366e+01,1.767390488551e+01,1.769210479147e+01
0.05000000,1.725503645946e+01,1.768508177160e+01,1.769828110158e+01,1.769149797950e+01
0.07500000,1.727704924982e+01,1.760843204847e+01,1.753083443118e+01,1.752462489032e+01
0.10000000,1.722263460047e+01,1.736004221377e+01,1.721356775937e+01,1.725304161568e+01
0.12500000,1.711013141009e+01,1.695164569516e+01,1.680899249097e+01,1.693125342538e+01
0.15000000,1.694807647604e+01,1.641217908775e+01,1.637510803500e+01,1.658729805785e+01
0.17500000,1.673705861851e+01,1.578643616358e+01,1.595031957075e+01,1.622646527424e+01
0.20000000,1.647178837504e+01,1.512591971061e+01,1.555011690755e+01,1.584340581157e+01
0.22500000,1.614314780391e+01,1.447751357263e+01,1.517237833329e+01,1.543249082784e+01
0.25000000,1.574056129787e+01,1.387537763007e+01,1.480571966824e+01,1.499303672981e+01
0.27500000,1.525447883406e+01,1.333812857283e+01,1.443664798335e+01,1.453006422488e+01
0.30000000,1.467874559057e+01,1.287052582454e+01,1.405396916913e+01,1.405258014549e+01
0.32500000,1.401235746282e+01,1.246757614322e+01,1.365070593096e+01,1.357109969720e+01
0.35000000,1.326035859496e+01,1.211904147945e+01,1.322439251215e+01,1.309544373721e+01
0.37500000,1.243386117092e+01,1.181308741491e+01,1.277652285328e+01,1.263326745959e+01
0.40000000,1.154922597384e+01,1.153862084962e+01,1.231164230809e+01,1.218940139893e+01
0.42500000,1.062659028723e+01,1.128641988766e+01,1.183633999912e+01,1.176587618000e+01
0.45000000,9.688040992521e+00,1.104940444006e+01,1.135827107632e+01,1.136241048874e+01
0.47500000,8.755720932165e+00,1.082242174209e+01,1.088528301958e+01,1.097712979902e+01
0.50000000,7.850092236039e+00,1.060183496784e+01,1.042469607524e+01,1.060732112587e+01
0.52500000,6.989974458388e+00,1.038515086514e+01,9.983329469150e+00,1.025032752503e+01
0.55000000,6.188022038229e+00,1.017043837226e+01,9.565639459090e+00,9.903232748940e+00
0.57500000,5.453355854608e+00,9.956338729164e+00,9.174837857296e+00,9.564105010581e+00
0.60000000,4.791019348778e+00,9.741740721494e+00,8.812618219514e+00,9.231728427676e+00
0.62500000,4.202372242732e+00,9.525679976303e+00,8.479294293985e+00,8.905571487169e+00
0.65000000,3.685703598861e+00,9.307288766579e+00,8.174008024052e+00,8.585672149923e+00
0.67500000,3.236947895383e+00,9.085753815226e+00,7.894975334302e+00,8.272474470626e+00
0.70000000,2.850399643300e+00,8.860289908460e+00,7.639737484639e+00,7.966642204861e+00
0.72500000,2.519364589158e+00,8.630119396961e+00,7.405392458367e+00,7.668874255721e+00
0.75000000,2.236715898267e+00,8.394448428369e+00,7.188778299009e+00,7.379743212639e+00
0.77500000,1.995328166961e+00,8.152435800169e+00,6.986606795331e+00,7.099564390355e+00
0.80000000,1.788394318250e+00,7.903154776404e+00,6.795551227797e+00,6.828298404433e+00
0.82500000,1.609636722313e+00,7.645552460308e+00,6.612289286835e+00,6.565485941764e+00
0.85000000,1.453408744479e+00,7.378415547071e+00,6.433509477347e+00,6.310211235119e+00
0.87500000,1.314716584512e+00,7.100355051346e+00,6.255894902741e+00,6.061090315976e+00
0.90000000,1.189198898437e+00,6.809824999363e+00,6.076105145806e+00,5.816282992315e+00
0.92500000,1.073095949714e+00,6.505174670394e+00,5.890771056873e+00,5.573521707854e+00
0.95000000,9.633468337310e-01,6.185163977064e+00,5.696907011523e+00,5.330545968653e+00
0.97500000,8.575328802815e-01,5.849726295769e+00,5.492600527014e+00,5.085761218425e+00
1.00000000,8.040720511523e-01,5.673867511593e+00,5.384973459393e+00,4.959727557525e+00
